2026-01-21 10:47:54,066 [INFO] Connecting to 149.154.167.91:443/TcpFull...
2026-01-21 10:47:54,252 [INFO] Connection to 149.154.167.91:443/TcpFull complete!
2026-01-21 10:47:55,269 [INFO] Starting full scrape
2026-01-21 10:47:55,271 [INFO] Scraping channel: lobelia4cosmetics
2026-01-21 10:49:54,234 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:55,467 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:56,020 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:57,343 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:58,092 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:49:58,947 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:00,671 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:03,679 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:05,048 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:06,713 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:08,498 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:10,000 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:11,553 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:12,160 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:14,398 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:14,763 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:15,413 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:15,908 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:16,249 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:19,126 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:20,025 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:20,565 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:21,360 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:21,804 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
